Date, Open, High, Low, Close, Volume
12/21/22, 46.00, 46.15, 45.00, 45.25, 4246800
12/20/22, 46.20, 46.20, 45.00, 45.25, 3327900
12/19/22, 46.00, 46.00, 45.45, 45.50, 647400
12/16/22, 45.50, 46.00, 45.50, 45.50, 472900
12/15/22, 46.20, 46.20, 45.30, 45.50, 3528500
12/14/22, 46.00, 46.20, 45.00, 45.45, 521900
12/13/22, 46.00, 47.00, 46.00, 46.95, 188800
12/09/22, 45.00, 46.80, 44.50, 45.00, 131700
12/08/22, 45.00, 45.50, 45.00, 45.05, 22400
12/07/22, 45.00, 46.00, 44.50, 45.05, 209100
12/06/22, 45.00, 45.05, 44.50, 44.95, 102500
12/05/22, 45.40, 45.50, 45.00, 45.00, 600200
12/02/22, 46.50, 46.50, 44.90, 45.05, 84700
12/01/22, 46.50, 46.50, 45.00, 45.40, 162000
11/30/22, 46.85, 46.85, 45.50, 45.65, 20000
11/29/22, 45.65, 47.00, 45.50, 46.95, 4381500
11/28/22, 45.95, 47.00, 45.00, 45.65, 54900
11/25/22, 45.50, 46.80, 45.50, 45.95, 176500
11/24/22, 45.10, 45.70, 45.10, 45.45, 25500
11/23/22, 45.00, 45.40, 45.00, 45.00, 7754300
11/22/22, 45.80, 46.50, 45.00, 45.05, 215300
11/21/22, 45.50, 46.50, 45.50, 45.80, 4288700
11/18/22, 45.60, 47.00, 45.50, 46.80, 24500
11/17/22, 45.80, 46.00, 45.50, 45.65, 402400
11/16/22, 45.40, 45.90, 45.00, 45.70, 19000
11/15/22, 46.00, 46.00, 45.00, 45.55, 403300
11/14/22, 46.00, 46.00, 45.00, 45.85, 449000
11/11/22, 45.05, 46.00, 45.00, 45.10, 138300
11/10/22, 45.00, 46.00, 45.00, 45.05, 1018100
11/09/22, 45.00, 46.00, 44.05, 44.90, 33300
11/08/22, 44.00, 45.00, 44.00, 44.50, 81500
11/07/22, 46.00, 46.00, 44.00, 45.00, 514900
11/04/22, 46.00, 46.00, 45.00, 45.70, 47900
11/03/22, 46.00, 46.00, 45.00, 45.90, 28000
11/02/22, 46.50, 46.50, 44.00, 46.10, 550800
11/01/22, 46.80, 46.80, 46.00, 46.45, 2949700
10/31/22, 46.80, 46.80, 46.50, 46.70, 13600
10/28/22, 47.50, 47.50, 46.50, 46.80, 804000
10/27/22, 46.75, 47.25, 46.00, 47.15, 2181500
10/26/22, 47.00, 47.00, 46.50, 46.75, 9511100
10/25/22, 46.75, 47.00, 46.00, 46.65, 5022000
10/24/22, 46.00, 47.00, 45.90, 46.75, 144600
10/21/22, 45.00, 46.00, 45.00, 45.35, 5200
10/19/22, 44.50, 46.00, 44.50, 45.00, 112700
10/18/22, 44.25, 45.00, 43.95, 44.20, 256600
10/17/22, 45.00, 46.00, 44.00, 44.40, 35500
10/14/22, 46.00, 46.00, 44.00, 44.10, 1268500
10/13/22, 44.00, 45.00, 43.75, 43.95, 1541400
